,Dream:,,,,,,,,
,,gsm8k_cot,,,,math,,,
,,token/forward (TPF),Acc,AUP,TPF=1时的Acc,token/forward (TPF),Acc,AUP,TPF=1时的Acc
,Qwen-2.5-7B-it,1.00,74.10,74.1000,74.10,1.00,41.15,41.1500,41.15
,EAGLE-3 (LLaMA-3.1),5.12,76.57,318.9862,76.57,5.72,39.80,142.0584,39.80
,Dream,1.00,83.94,83.9400,83.94,1.00,39.63,39.6300,39.63
,Fast-dLLM-Dream,1.44,79.00,116.4864,83.68,1.78,38.30,55.2169,39.53
,Fast-dLLM-v2-7B,2.21,81.48,176.1064,82.82,2.61,48.74,126.6553,49.92
,dParallel-Dream,3.02,82.12,245.7335,83.80,2.94,38.72,77.9471,39.06
,d3LLM-Dream,4.94,81.36,391.3278,83.47,3.92,38.21,97.4967,39.38
,,,,,,,,,
,,,,,,,,,
,,mbpp_instruct,,,,humaneval_instruct,,,
,,token/forward (TPF),Acc,AUP,TPF=1时的Acc,token/forward (TPF),Acc,AUP,TPF=1时的Acc
,Qwen-2.5-7B-it,1.00,63.80,63.8000,63.80,1.00,72.25,72.2500,72.25
,EAGLE-3 (LLaMA-3.1),5.69,60.20,298.5704,60.20,5.98,67.58,344.8057,67.58
,Dream,1.00,57.20,57.2000,57.20,1.00,55.20,55.2000,55.20
,Fast-dLLM-Dream,1.20,53.20,63.5892,56.38,1.33,54.27,63.5012,54.86
,Fast-dLLM-v2-7B,2.04,59.12,114.1151,61.23,2.58,61.70,128.9414,63.20
,dParallel-Dream,2.24,55.40,107.9665,57.80,2.57,54.27,98.7677,56.08
,d3LLM-Dream,2.96,55.60,141.4058,58.80,3.20,57.10,129.4756,58.86
,,,,,,,,,
,,,,,,,,,
,,long-gsm8k,,,,,,,
,,token/forward (TPF),Acc,AUP,TPF=1时的Acc,,,,
,Qwen-2.5-7B-it,1.00,82.56,82.5600,82.56,,,,
,EAGLE-3 (LLaMA-3.1),5.57,80.52,422.2056,80.52,,,,
,Dream,1.00,78.95,78.9500,78.95,,,,
,Fast-dLLM-Dream,1.79,76.57,130.3502,78.83,,,,
,Fast-dLLM-v2-7B,2.58,80.97,207.2460,82.34,,,,
,dParallel-Dream,3.49,78.56,262.3936,81.27,,,,
,d3LLM-Dream,4.80,77.18,348.6435,81.20,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,LLaDA:,,,,,,,,
,,,,,,,,,
,,gsm8k_cot,,,,math,,,
,,token/forward (TPF),Acc,AUP,TPF=1时的Acc,token/forward (TPF),Acc,AUP,TPF=1时的Acc
,Qwen-2.5-7B-it,1.00,74.10,74.1000,74.10,1.00,41.15,41.1500,41.15
,LLaDA,1.00,72.55,72.5500,72.55,1.00,32.20,32.2000,32.20
,Fast-dLLM-LLaDA,2.77,74.68,205.7811,74.79,1.97,30.82,47.1873,32.10
,D2F,2.88,74.39,213.7564,74.98,2.66,28.94,48.9958,29.10
,dParallel-LLaDA,5.14,72.63,358.1422,74.00,3.17,30.18,64.5356,32.00
,d3LLM-LLaDA,9.11,73.09,637.6549,74.02,5.74,30.36,107.6419,32.76
,,,,,,,,,
,,,,,,,,,
,,mbpp,,,,humaneval,,,
,,token/forward (TPF),Acc,AUP,TPF=1时的Acc,token/forward (TPF),Acc,AUP,TPF=1时的Acc
,Qwen-2.5-7B-it,1.00,63.60,63.6000,63.60,1.00,67.73,67.7300,67.73
,LLaDA,1.00,41.72,41.7200,41.72,1.00,38.28,38.2800,38.28
,Fast-dLLM-LLaDA,2.13,38.60,56.6011,41.58,2.56,37.80,54.0245,38.16
,D2F,2.13,39.00,52.9606,38.80,2.69,40.64,61.9823,41.02
,dParallel-LLaDA,2.35,40.00,60.4513,41.62,4.93,39.02,83.6855,39.68
,d3LLM-LLaDA,4.21,40.60,88.3560,42.00,5.95,39.63,96.6405,39.80
,,,,,,,,,
,,,,,,,,,
,,long-gsm8k,,,,,,,
,,token/forward (TPF),Acc,AUP,TPF=1时的Acc,,,,
,Qwen-2.5-7B-it,1.00,82.56,82.5600,82.56,,,,
,LLaDA,1.00,78.58,78.5800,78.58,,,,
,Fast-dLLM-LLaDA,2.45,78.01,175.3744,78.45,,,,
,D2F,2.70,75.66,176.9480,74.91,,,,
,dParallel-LLaDA,4.49,76.65,309.0756,79.15,,,,
,d3LLM-LLaDA,6.95,74.22,441.1296,78.32,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Dream Coder:,,,,,,,,
,,,,,,,,,
,,humaneval,,,,humaneval+,,,
,,token/forward (TPF),Acc,AUP,TPF=1时的Acc,token/forward (TPF),Acc,AUP,TPF=1时的Acc
,Qwen2.5-Coder-7B,1.00,86.60,86.60,86.60,1.00,82.30,82.30,82.30
,Dream-Coder-7B,1.00,82.90,82.90,82.90,1.00,76.80,76.80,76.80
,d3LLM-Coder-7B,2.88,79.70,208.36,82.40,2.88,71.30,171.72,74.40
,,,,,,,,,
,,,,,,,,,
,,mbpp,,,,mbpp+,,,
,,token/forward (TPF),Acc,AUP,TPF=1时的Acc,token/forward (TPF),Acc,AUP,TPF=1时的Acc
,Qwen2.5-Coder-7B,1.00,83.50,83.50,83.50,1.00,70.10,70.10,70.10
,Dream-Coder-7B,1.00,79.90,79.9,79.90,1.00,68.80,68.80,68.80
,d3LLM-Coder-7B,2.50,80.00,186.36,80.10,2.50,69.30,170.92,69.60
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
